market_type,symbol,name,date,open,close,high,low,volume,market_cap,sector,exchange,country,currency,last_updated
stock,AAPL,AAPL Inc,01-24-2023,35665.10691327752,37525.29224133871,38578.39678469846,35256.68291259902,4938462.168047543,367586795355.5221,RETAIL,NYSE,Global,USD,2023-01-24 17:00:00
stock,MSFT,MSFT Inc,2023-12-01,21382.775507743896,19353.20425312388,21498.126415874296,18415.95681297292,6364467.70222654,1572971159852.1624,Automotive,NYSE,US,USD,2023-12-01 17:00:00
stock,GOOGL,GOOGL Inc,2023-07-17,25433.44885132349,27506.613064946203,27849.472309311004,24683.649062881483,7555755.834291943,949924383418.2168,Automotive,,Global,USDT,2023-07-17 15:00:00
stock,AAPL,AAPL Inc,2023-11-28,3858.2256923413615,3695.988423112253,3889.3270979731487,3682.99658995928,8081395.675264605,694106514819.9512,ai,NASDAQ,US,USD,2023-11-28 13:00:00
crypto,BTC,BTC Coin,02/03/2023,43574.31490348401,46220.77544472342,46651.94608454743,43340.23150181684,5393883.076914592,255194483821.61728,Blockchain,COINBASE,US,USDT,2023-03-02 14:00:00
stock,MSFT,MSFT Inc,11-27-2023,44805.60408317543,43174.71123419055,45052.151231124364,41508.02741362435,4271650.778473937,2424246063940.547,tech,NASDAQ,Global,usd,2023-11-27 17:00:00
crypto,ADA,ADA Coin,2024-07-03,43037.921856984605,38793.97072139433,44136.996981834556,37663.923697071696,2221855.996896832,328115832539.38477,crypto,COINBASE,US,usd,2024-07-03 05:00:00
crypto,BTC,BTC Coin,04-02-2023,16887.38241846736,18383.299527831536,18680.37634321208,16481.064078768726,7030486.569992883,52346820096.80471,Blockchain,COINBASE,Global,USD,2023-04-02 02:00:00
crypto,BNB,BNB Coin,06-19-2023,48589.38631522082,53083.392368095054,53751.66528812693,47367.96698683335,3009482.21985788,148633692939.82114,Blockchain,COINBASE,Global,USD,2023-06-19 22:00:00
stock,MSFT,MSFT Inc,23/03/2024,1853.9784982530944,1894.6044821279243,1942.2233786519785,1766.0515982371596,2787185.9959018775,861673078188.6282,automotive,NYSE,Global,usd,2024-03-23 01:00:00
crypto,SOL,SOL Coin,2024-08-17,11985.698914441951,11134.462285224152,12279.020585318422,11126.473561348372,2421310.659843493,363765024956.8282,Crypto,BINANCE,US,usd,2024-08-17 18:00:00
crypto,SOL,SOL Coin,2023-12-30,38083.36457028259,36085.03555794416,39470.011004793865,34944.35715113627,6323426.000105201,270493541225.32202,crypto,COINBASE,US,$,2023-12-30 14:00:00
stock,AMZN,AMZN Inc,01-18-2023,26793.376456897175,24597.872371062345,27912.40516788258,23762.50410737702,1865998.5854881424,1904253835175.0752,tech,NASDAQ,US,USDT,2023-01-18 18:00:00
crypto,BNB,BNB Coin,2023-03-05,29548.73822998021,30598.098799390427,30623.476600810525,28827.88650493497,2265731.256204182,21106180914.131744,Blockchain,BINANCE,Global,$,2023-03-05 03:00:00
stock,GOOGL,GOOGL Inc,2023-12-25,8726.577785959522,9059.824390724789,9235.01210688324,8698.971252219151,1376071.9205157866,1939066643324.2551,ai,NYSE,US,usd,2023-12-25 15:00:00
crypto,SOL,SOL Coin,2024-01-16,5682.541326817048,6165.209134237728,6435.6581640022605,5471.702458446087,6600180.476295756,139721208664.8521,Crypto,BINANCE,US,$,2024-01-16 04:00:00
crypto,ADA,ADA Coin,2023-03-17,27764.48857185712,27929.13520063998,28266.871467197143,26505.51167990202,8972260.363775315,327802769079.4802,blockchain,COINBASE,US,$,2023-03-17 03:00:00
crypto,BTC,BTC Coin,2023-01-20,31658.741849090664,30639.51899097399,32211.518637785317,30219.689681892796,8971205.489265818,360665132579.5155,crypto,COINBASE,Global,USDT,2023-01-20 18:00:00
crypto,BTC,BTC Coin,2024-04-04,38995.97853742262,40103.71114243611,40272.42738502091,37361.32310384473,8985643.331082266,355399137584.7213,crypto,BINANCE,Global,USDT,2024-04-04 12:00:00
crypto,BTC,BTC Coin,07/04/2024,469.7606103153161,432.31801606506133,485.3449601153907,410.8115259561355,1608919.706123569,244539478565.53802,Crypto,COINBASE,Global,usd,2024-04-07 11:00:00
stock,MSFT,MSFT Inc,2023-03-13,34597.84093265774,35649.3472294972,36049.099953791156,34099.94205681116,2373253.625880504,1650714030206.0925,Retail,NYSE,Global,$,2023-03-13 23:00:00
crypto,ETH,ETH Coin,10-12-2023,37327.10534185003,38444.177938918394,40076.56273406506,36688.089360010206,5683517.72475138,133532880772.91075,crypto,BINANCE,US,USDT,2023-10-12 20:00:00
stock,,AMZN Inc,10/11/2023,18392.112994941082,17528.428078032615,18616.487249472255,17504.773950538227,3931584.148942937,290087555805.9965,AI,NYSE,Global,USDT,2023-11-10 17:00:00
stock,MSFT,MSFT Inc,2023-02-07,31560.62 USD,33421.50541306555,34261.449829466685,30892.961129391697,4925684.42049482,2677219199979.569,tech,NASDAQ,Global,$,2023-02-07 18:00:00
crypto,ETH,ETH Coin,07/08/2023,36125.38124192265,34541.44484480463,36169.30241980275,33929.14988796074,1771929.6833910823,82120980180.22757,blockchain,BINANCE,Global,USDT,2023-08-07 21:00:00
crypto,SOL,SOL Coin,03-07-2023,47696.88956435934,51654.43776526534,52610.45474254616,45348.90671272218,9283257.307314666,376481140819.4011,crypto,COINBASE,US,USD,2023-03-07 09:00:00
crypto,SOL,SOL Coin,08-14-2023,48333.07440399304,52814.71017355953,55067.28253185026,46628.00169422202,3851592.1882906505,174132738585.33917,Crypto,COINBASE,Global,$,2023-08-14 03:00:00
crypto,ADA,ADA Coin,08-28-2023,15852.93103776232,14805.029298909198,16294.27763853688,14757.767776951943,6960601.936953055,341198985249.15845,crypto,COINBASE,US,USD,2023-08-28 16:00:00
crypto,ADA,ADA Coin,04/04/2024,4867.852923600719,4979.820576545272,5226.335103277126,4658.5556965766245,5183778.193985004,230174162185.29916,blockchain,COINBASE,Global,$,2024-04-04 20:00:00
crypto,ETH,ETH Coin,21/02/2024,37041.02320153268,38500.55612818725,39852.85752342245,35854.76804510987,2936624.8508006693,351562363411.5424,blockchain,BINANCE,US,$,2024-02-21 21:00:00
stock,TSLA,TSLA Inc,02-03-2023,40507.568600012244,43481.41002522207,45466.85937109049,39517.852035009346,5015661.430577309,2429989854880.756,Finance,NASDAQ,Global,USD,2023-02-03 09:00:00
crypto,BTC,BTC Coin,06-15-2023,32501.69689958048,33814.55014525741,35160.01870155118,32322.94624753956,3380613.5733585064,320326595691.87616,blockchain,BINANCE,Global,USDT,2023-06-15 19:00:00
stock,AAPL,AAPL Inc,24/04/2024,4708.157172645041,4781.868214106402,4790.46177493697,4582.354746444772,5426903.702441059,1132993028393.4326,finance,,Global,usd,2024-04-24 16:00:00
crypto,BNB,BNB Coin,05-20-2024,29545.754695844847,26771.409806832584,29600.928717000766,26533.948152328452,3602546.223471218,118183794590.67235,Crypto,Unknown,US,USD,2024-05-20 07:00:00
stock,AAPL,AAPL Inc,07-20-2024,26116.94057013967,27527.221686259127,27824.269349682218,25624.49321856623,854389.3024726862,389910932829.1355,TECHNOLOGY,NASDAQ,US,USD,2024-07-20 00:00:00
crypto,ETH,ETH Coin,2023-12-03,26572.41803209172,26788.372719733445,27642.158208935292,26208.497252945013,9758544.942545883,25414279861.60004,Blockchain,COINBASE,Global,$,2023-12-03 09:00:00
crypto,SOL,SOL Coin,2024-03-11,16154.594082332886,17108.31671337226,17339.99090991162,15701.434633978468,785485.3570413173,208938637578.97214,Blockchain,BINANCE,US,$,2024-03-11 03:00:00
crypto,ETH,ETH Coin,08-28-2023,48132.79424974947,51367.12665227348,53154.636411830004,46710.35693382806,1733769.9063883869,15013543649.105717,crypto,BINANCE,US,usd,2023-08-28 17:00:00
crypto,ETH,ETH Coin,2023-06-11,12519.642479248121,12642.902527761413,13094.630857633045,12306.93211139789,2800059.0355624827,66792631855.07899,Crypto,BINANCE,US,USDT,2023-06-11 21:00:00
stock,MSFT,MSFT Inc,01-17-2024,36897.46686562147,37298.5722359318,38439.387758013814,35826.7024923525,2478062.1640220736,2865047189182.95,Automotive,NASDAQ,US,USD,2024-01-17 16:00:00
stock,AAPL,AAPL Inc,03-08-2023,37894.72706211381,34214.34182052167,38114.65411368323,32582.322235434553,408247.2943873824,1074358309167.2721,Automotive,NASDAQ,US,$,2023-03-08 15:00:00
crypto,BNB,BNB Coin,10/06/2023,35185.85639040738,35004.11320223789,35357.97532674449,34114.336429356335,4735244.236034877,342906930684.34784,blockchain,COINBASE,Global,$,2023-06-10 20:00:00
stock,MSFT,MSFT Inc,06-25-2023,21698.243945406273,21257.790138936354,22366.38722847324,20869.9350094253,453994.7937106731,527873591030.9454,ai,NYSE,Global,usd,2023-06-25 18:00:00
stock,MSFT,MSFT Inc,08-17-2024,31296.737186554677,31316.368118660692,32657.475676488026,30762.64840098871,1630181.3363872154,1130091717733.149,RETAIL,Unknown,Global,$,2024-08-17 13:00:00
stock,GOOGL,GOOGL Inc,2024-04-02,32124.539717533717,29082.418475471986,33065.428263842754,28995.50601891912,5755166.304580914,221000554727.28522,RETAIL,NASDAQ,US,$,2024-04-02 09:00:00
stock,AMZN,AMZN Inc,12-26-2023,32167.978039933234,31899.394019553318,33045.547484779934,31806.032163110944,3861640.2753699417,1170628079357.5005,TECHNOLOGY,NYSE,US,USDT,2023-12-26 04:00:00
stock,AMZN,AMZN Inc,15/01/2024,45268.478591383624,42514.26409096366,45425.472619570515,40602.77601467144,183200.03468984572,2883959785833.5034,RETAIL,NASDAQ,Global,USD,2024-01-15 13:00:00
crypto,BNB,BNB Coin,2024-06-25,34153.508603083676,31224.426166300975,34698.21544975428,30982.24219634074,233696.08542252282,42304969498.59171,Blockchain,COINBASE,Global,USD,2024-06-25 10:00:00
stock,MSFT,MSFT Inc,04-08-2023,14099.920190922263,13023.151099597924,14591.117112206459,12781.534430949314,8774842.663257003,2445260762940.918,AI,NYSE,US,$,2023-04-08 21:00:00
crypto,SOL,SOL Coin,01/02/2024,40176.01170993858,38424.61539699119,40532.452369373605,37945.488784297035,8068540.557933372,295353062302.53485,crypto,COINBASE,Global,usd,2024-02-01 07:00:00
crypto,BTC,BTC Coin,05-14-2023,20636.75766880221,20108.531318905458,21437.889974889702,19445.75768609877,9307642.498710044,396249531090.2659,blockchain,COINBASE,Global,usd,2023-05-14 07:00:00
crypto,ADA,ADA Coin,06-07-2024,21455.411428477168,22531.919823470766,23381.98480058313,20493.269108751872,9025626.513888987,344073036977.9897,blockchain,BINANCE,US,usd,2024-06-07 00:00:00
crypto,ETH,ETH Coin,12/04/2024,41324.608730726,39837.3327650564,43174.96608207011,38620.70396622615,109365.6771515033,204574687116.90356,Crypto,COINBASE,US,$,2024-04-12 01:00:00
stock,GOOGL,GOOGL Inc,2023-03-03,4573.420972538816,4408.150012679667,4790.672638804897,4397.263457386993,5734805.443344737,2717092109493.598,Automotive,NYSE,US,$,2023-03-03 17:00:00
crypto,BNB,BNB Coin,20/11/2023,22427.791643696204,21500.226498392898,22796.352640907535,21148.18012997354,7523992.919847363,254575698807.0707,Blockchain,COINBASE,US,USDT,2023-11-20 12:00:00
stock,MSFT,MSFT Inc,07/05/2023,39483.01095829975,36254.92817569683,40459.07107372864,34546.521202426266,5495739.294355032,2376821340740.287,finance,NASDAQ,US,USDT,2023-05-07 21:00:00
stock,MSFT,MSFT Inc,26/04/2023,44386.332096087404,43062.864943406516,44646.140869520095,41217.60327084977,7615344.806543005,1330176199106.3972,Automotive,NASDAQ,US,USDT,2023-04-26 20:00:00
stock,GOOGL,GOOGL Inc,2024-07-14,5065.122579378284,4643.812577986949,5242.647308138323,4428.516837295911,8218778.732844272,1858472009315.6206,finance,NASDAQ,US,USD,2024-07-14 15:00:00
stock,GOOGL,GOOGL Inc,09/08/2024,4076.6255442885695,3738.133308331461,4277.73354972477,3621.1803493124717,3707050.828521842,2121664259197.9236,RETAIL,NASDAQ,US,USD,2024-08-09 07:00:00
crypto,,ETH Coin,03/07/2024,47362.9563834191,51966.64582104669,53924.17268717941,45885.84688116535,835923.666269989,326055829066.7135,Blockchain,N/A,Global,USD,2024-07-03 16:00:00
stock,AAPL,AAPL Inc,2023-07-15,27924.628444292895,27501.41399708625,29190.108916424204,26279.247697048693,4926758.417804301,2333669278623.036,ai,N/A,Global,usd,2023-07-15 17:00:00
crypto,BNB,BNB Coin,2023-03-28,23438.34549328637,21358.442069524663,23577.590261900543,20416.0288427203,6492453.81085852,9484689683.130531,Blockchain,BINANCE,US,$,2023-03-28 20:00:00
crypto,BNB,BNB Coin,2024-06-01,29172.60456720701,31869.159966900235,32466.500490186514,28130.722624505284,8686122.682766413,299687727309.8422,Blockchain,COINBASE,Global,usd,2024-06-01 14:00:00
crypto,BTC,BTC Coin,02-04-2024,48161.49474663616,43462.42080575689,50497.03544750385,41383.09147822581,8911539.993867014,93320356215.18379,blockchain,BINANCE,US,$,2024-02-04 20:00:00
crypto,BNB,BNB Coin,2024-04-27,49648.31015800382,45416.254089119095,51023.20662271862,45346.545897008364,5231455.343857318,213441938089.08844,crypto,COINBASE,US,USDT,2024-04-27 17:00:00
stock,TSLA,TSLA Inc,2024-05-30,34790.47696234101,34474.169354555146,35882.12920872579,33757.64841410375,9011678.9468994,1891901928024.435,automotive,NYSE,US,usd,2024-05-30 01:00:00
crypto,SOL,SOL Coin,2023-05-31,14055.349847715594,15321.488044540558,16003.496340609165,13672.803108873677,6201705.845417566,22951320234.87586,blockchain,COINBASE,Global,USD,2023-05-31 09:00:00
crypto,ETH,ETH Coin,10/08/2023,9414.176774590827,9345.826847971903,9580.502791507466,9151.272953579246,778268.6350128833,114565567277.54741,Blockchain,COINBASE,Global,usd,2023-08-10 04:00:00
crypto,ETH,ETH Coin,09/07/2024,49310.67511653535,51264.972696648045,52639.12097581822,47608.292147023116,8138136.40204978,389885949028.13574,crypto,BINANCE,Global,$,2024-07-09 05:00:00
stock,AMZN,AMZN Inc,07-26-2023,8139.220797851116,8808.146215138055,9170.397630291245,8118.791318361701,7257469.364375211,2057346205936.099,Artificial Intelligence,NYSE,Global,usd,2023-07-26 00:00:00
stock,AAPL,AAPL Inc,23/03/2023,20917.96938416804,22728.32961745938,23712.53889497659,19919.36505280334,264643.37799802277,1844111435848.0117,AI,NASDAQ,Global,USD,2023-03-23 03:00:00
crypto,SOL,SOL Coin,08/06/2024,40529.56100578383,44479.37852773028,44813.90101954819,39707.07580915835,3809527.675453584,153703029916.8296,Blockchain,BINANCE,Global,$,2024-06-08 12:00:00
stock,TSLA,TSLA Inc,25/09/2023,42107.524967554076,44956.76184372697,46010.30818186129,40875.49984676195,2734797.312235132,2910044049465.6636,tech,NASDAQ,Global,USDT,2023-09-25 23:00:00
crypto,BTC,BTC Coin,14/12/2023,43237.47158899011,45943.28128747573,48239.796801068005,43230.2008559168,5554761.624320672,27268321177.11621,Crypto,BINANCE,US,USDT,2023-12-14 17:00:00
crypto,ADA,ADA Coin,08-29-2023,47238.83883682258,50542.226184407744,51167.302369637175,45941.0559848209,1292464.9920997983,308750028996.30164,Blockchain,COINBASE,Global,USD,2023-08-29 16:00:00
stock,TSLA,TSLA Inc,07-22-2024,30312.669976199493,28667.55775971131,31330.722034658596,28120.191223537517,3582269.017610372,2862612571503.58,RETAIL,NASDAQ,US,USDT,2024-07-22 20:00:00
stock,TSLA,TSLA Inc,2023-09-22,33581.944047684054,33718.338462781714,35020.403109460385,32776.25192479937,8521962.821685083,349537200676.89075,finance,NYSE,US,USDT,2023-09-22 04:00:00
stock,AAPL,AAPL Inc,10-09-2023,28051.28919705396,30164.41302411026,30772.954215339392,26836.68973370517,288797.9804570764,1660201447935.7117,TECHNOLOGY,NASDAQ,US,USD,2023-10-09 05:00:00
stock,AAPL,AAPL Inc,01-14-2023,31019.274472159697,32285.3557403366,32629.136926049483,29679.817960121683,146432.1120131514,2267860394464.1206,Artificial Intelligence,NASDAQ,US,usd,2023-01-14 06:00:00
crypto,BTC,BTC Coin,16/10/2023,29499.98516586311,28864.225351644847,30145.260351369965,28725.906099638432,3483206.41476598,143482085728.6058,Crypto,COINBASE,Global,$,2023-10-16 06:00:00
stock,MSFT,MSFT Inc,2024-01-05,39184.81410692974,38374.0237383775,40403.63169227087,38109.94082298677,9495256.715952763,1546828572587.8342,Technology,NYSE,Global,usd,2024-01-05 13:00:00
crypto,ADA,ADA Coin,22/02/2024,46330.1153818231,46257.06477157081,46928.33999715306,45006.12515375514,9800345.720279485,63094024966.969986,Blockchain,COINBASE,US,usd,2024-02-22 18:00:00
crypto,ETH,ETH Coin,12/11/2023,16444.292998272536,16883.02954519336,17085.748824042406,15684.454288121056,1289668.3393845817,199584147127.1835,Crypto,COINBASE,Global,USD,2023-11-12 15:00:00
crypto,BNB,BNB Coin,2023-01-30,7603.615648679594,7054.371776295435,7847.263910601057,6765.805674183441,3457327.1659553084,55578106388.320114,blockchain,BINANCE,Global,USD,2023-01-30 12:00:00
stock,MSFT,MSFT Inc,2024-03-04,23703.342396740987,24497.678086218486,24708.749922846295,22746.0698995017,409645.29404852213,2691397345618.9756,Technology,NYSE,US,USDT,2024-03-04 15:00:00
stock,AAPL,AAPL Inc,20/08/2023,13936.73 USD,13036.44744580245,13998.542216020945,12463.258233196406,4608326.901559225,515115838585.772,RETAIL,NYSE,Global,USD,2023-08-20 10:00:00
crypto,BTC,BTC Coin,04-30-2024,18219.850353793292,18232.302786512068,18861.6771644027,17344.670901353238,7994304.578691517,86501818770.28804,Blockchain,BINANCE,US,usd,2024-04-30 21:00:00
crypto,BTC,BTC Coin,11-02-2023,4097.134007124107,4403.254344156609,4605.9961140593905,3904.789536088257,2769499.60382389,253020653848.90857,Blockchain,BINANCE,US,usd,2023-11-02 09:00:00
stock,TSLA,TSLA Inc,11/03/2023,37415.50192227908,35054.74104093706,37807.14742276571,33951.34417020237,4845745.328925022,2420541826581.2534,Artificial Intelligence,NASDAQ,US,USDT,2023-03-11 08:00:00
crypto,BNB,BNB Coin,2024-03-23,18451.992842092925,18313.731012145297,19141.60926209875,17431.63477705815,2525117.0064958637,249210634754.4669,blockchain,COINBASE,Global,usd,2024-03-23 16:00:00
crypto,BNB,BNB Coin,2023-02-24,44761.39 USD,44865.92952370168,46059.61783012793,42763.17873403107,4474676.255867723,286773086424.3982,blockchain,COINBASE,Global,USDT,2023-02-24 04:00:00
crypto,ETH,ETH Coin,03/07/2024,12131.100476700136,11571.233766493786,12359.94408124463,11004.284504242076,3221469.5766661996,215383820249.73416,Crypto,COINBASE,Global,USDT,2024-07-03 04:00:00
stock,TSLA,TSLA Inc,29/08/2023,16381.592635373952,15135.812263157943,17111.005392562365,14828.246846891114,6791344.0891257515,642229540919.6685,Finance,NASDAQ,US,usd,2023-08-29 08:00:00
crypto,BNB,BNB Coin,2024-03-30,24927.125524463572,22867.747558372765,25596.551633859643,22395.346907642863,7454649.302369116,316722639249.8986,Crypto,COINBASE,Global,USD,2024-03-30 20:00:00
crypto,BTC,BTC Coin,04-14-2023,6387.739336750233,6111.5027063336975,6503.703090109391,6003.303819440296,5708212.26838445,175505520760.72336,Crypto,COINBASE,Global,USDT,2023-04-14 08:00:00
stock,MSFT,MSFT Inc,11/07/2023,49325.89728716105,50369.38486219422,50966.83324082292,47110.62801230836,1529438.5327041359,1074729210434.5603,Finance,NASDAQ,Global,$,2023-07-11 04:00:00
crypto,ETH,ETH Coin,04/12/2023,8042.461849245188,7538.307298972637,8157.105200126408,7226.7391059669835,8967757.480839625,102153302711.8807,Crypto,BINANCE,Global,usd,2023-12-04 00:00:00
stock,AMZN,AMZN Inc,07/09/2023,26230.32436461703,25760.260306185017,27518.72985313586,24616.554855089176,3979158.1348583708,249898899528.3102,RETAIL,NASDAQ,Global,USD,2023-09-07 03:00:00
crypto,BNB,BNB Coin,12/05/2023,43276.7 USD,46021.06787959395,46614.51605508267,41482.638715381785,6686763.556024386,387940821143.7707,Crypto,COINBASE,US,usd,2023-05-12 16:00:00
crypto,ETH,ETH Coin,27/11/2023,27842.57702176635,28241.353386226652,28636.70281246743,27521.6814836831,1871250.4418266763,372103515705.39636,blockchain,BINANCE,US,USDT,2023-11-27 00:00:00
crypto,ADA,ADA Coin,03-31-2023,21277.567566434675,21309.953635767604,21568.240643698813,20335.8616029881,6106589.804373885,132853298379.67625,Blockchain,COINBASE,Global,USDT,2023-03-31 17:00:00
crypto,ADA,ADA Coin,16/01/2023,29066.098688916387,27056.83320323456,29765.341973101757,26424.500715190512,519183.5446874467,119009068529.90103,crypto,BINANCE,US,USD,2023-01-16 11:00:00
stock,MSFT,MSFT Inc,03-01-2023,6729.389700179322,6141.745704871112,7062.481109750925,5933.649186768666,8098934.584100494,1016446791799.8225,Automotive,NASDAQ,Global,$,2023-03-01 19:00:00
stock,MSFT,MSFT Inc,26/08/2023,34078.321083974224,35851.94679683747,36919.687218757856,33177.93126822396,4118997.300558538,771375557743.6539,RETAIL,NASDAQ,US,usd,2023-08-26 04:00:00
stock,MSFT,MSFT Inc,2023-03-03,46477.16192094881,49550.412270940506,51941.2863347444,44442.15293401447,7308943.884561239,1053116116963.5559,tech,NYSE,US,USD,2023-03-03 17:00:00
stock,AMZN,AMZN Inc,30/07/2024,9069.84097762135,8283.478993983628,9405.933299335968,8107.236842566155,8418445.938805962,2815637965894.9033,ai,NYSE,Global,USDT,2024-07-30 20:00:00
stock,,AAPL Inc,19/11/2023,39765.41291987591,37392.43035541363,40090.80522711823,35829.9237080885,8145932.62759359,427919406112.6056,finance,NASDAQ,US,USD,2023-11-19 16:00:00
stock,GOOGL,GOOGL Inc,07-22-2023,26158.040584208276,25419.496999098184,27305.332951562217,24647.310010665296,8166177.795276299,1998939689881.6384,finance,NYSE,Global,USDT,2023-07-22 17:00:00
crypto,SOL,SOL Coin,08-24-2023,18853.45202695113,18712.72905284841,19137.55269157804,18476.583188636298,5027701.180534699,178458288885.23627,Crypto,BINANCE,Global,USD,2023-08-24 02:00:00
stock,AMZN,AMZN Inc,2023-12-11,44979.73291799568,43935.224547582155,46202.17604398166,43729.76610727045,6242755.721144007,704315958488.9838,automotive,NYSE,US,USDT,2023-12-11 09:00:00
crypto,BTC,BTC Coin,2024-01-10,46992.20785943762,48192.464534488856,48999.460882326995,44969.83257584637,7940457.867513689,51174726079.80381,Crypto,COINBASE,Global,USD,2024-01-10 17:00:00
crypto,ADA,ADA Coin,06-12-2023,26677.71998789631,28779.35119508484,29914.116999749607,25546.1509870369,3117908.955887687,249928738591.76285,blockchain,COINBASE,US,$,2023-06-12 07:00:00
stock,TSLA,TSLA Inc,01-31-2024,37199.87516570812,33729.36812637196,38259.866422480016,33328.76220467824,8767779.601980733,752982528045.2526,ai,NYSE,US,usd,2024-01-31 14:00:00
crypto,ETH,ETH Coin,19/07/2023,41064.652660553926,37866.7981647584,42802.61612824432,36214.83762876149,3973475.6183131123,140122290742.78345,crypto,COINBASE,US,usd,2023-07-19 09:00:00
stock,AMZN,AMZN Inc,06-22-2024,7504.372193165202,7098.012532974313,7775.374797699756,6998.653324355771,6411835.181220088,2393913143680.865,finance,N/A,US,$,2024-06-22 20:00:00
crypto,ETH,ETH Coin,06/03/2023,27140.794922946334,25793.5207545686,27609.918126215034,24738.04694070516,9084597.16277495,279109635564.5045,blockchain,COINBASE,US,USD,2023-03-06 00:00:00
stock,AAPL,AAPL Inc,2024-05-28,20048.562324014358,19896.216521296068,20998.145777649755,19053.96133124337,5862712.090335956,1754341466350.7002,finance,NYSE,US,$,2024-05-28 21:00:00
crypto,BTC,BTC Coin,2023-01-28,30576.597229378043,27629.687065728205,31909.92630427285,27535.909535105107,5651766.7027085,204826028159.36407,blockchain,BINANCE,US,usd,2023-01-28 08:00:00
stock,AMZN,AMZN Inc,23/02/2023,46125.74406505301,48037.551306399204,48403.93141141035,45148.543332236535,6067543.7487821765,2092985963391.908,TECHNOLOGY,NYSE,US,USDT,2023-02-23 17:00:00
crypto,ADA,ADA Coin,03-22-2024,36824.847338879896,40023.94714046269,41876.19240223556,35813.709523251586,1133267.2203617117,172531615164.44247,crypto,BINANCE,Global,USD,2024-03-22 03:00:00
crypto,BTC,BTC Coin,23/06/2024,41946.51534143225,38797.69682120841,43877.8207492444,38545.31074620592,5188861.7332035955,394012273590.12213,crypto,BINANCE,US,$,2024-06-23 10:00:00
stock,MSFT,MSFT Inc,17/03/2023,19956.145166467813,18179.09689259826,20290.607407152074,17999.89957959934,47315.59802302399,1777913552877.3384,Automotive,NASDAQ,Global,$,2023-03-17 05:00:00
crypto,BTC,BTC Coin,05-05-2023,19914.452992611255,20063.39558797878,20986.166943774442,19263.5948941797,3470185.0657603806,136732172818.00195,blockchain,COINBASE,US,USDT,2023-05-05 13:00:00
