market_type,symbol,name,date,open,close,high,low,volume,market_cap,sector,exchange,country,currency,last_updated,daily_change,daily_change_pct
crypto,BTC,BTC Coin,2023-04-02,16887.38,18383.3,18680.38,16481.06,7030486.57,52346820096.8,Crypto,COINBASE,Global,USD,2023-04-02 02:00:00,1495.92,8.86
crypto,BNB,BNB Coin,2023-06-19,48589.39,53083.39,53751.67,47367.97,3009482.22,148633692939.82,Crypto,COINBASE,Global,USD,2023-06-19 22:00:00,4494.01,9.25
stock,MSFT,MSFT Inc,2024-03-23,1853.98,1894.6,1942.22,1766.05,2787186.0,861673078188.63,Automotive,NYSE,Global,USD,2024-03-23 01:00:00,40.63,2.19
crypto,SOL,SOL Coin,2024-08-17,11985.7,11134.46,12279.02,11126.47,2421310.66,363765024956.83,Crypto,BINANCE,US,USD,2024-08-17 18:00:00,-851.24,-7.1
crypto,SOL,SOL Coin,2023-12-30,38083.36,36085.04,39470.01,34944.36,6323426.0,270493541225.32,Crypto,COINBASE,US,USD,2023-12-30 14:00:00,-1998.33,-5.25
stock,AMZN,AMZN Inc,2023-01-18,26793.38,24597.87,27912.41,23762.5,1865998.59,1904253835175.08,Technology,NASDAQ,US,USD,2023-01-18 18:00:00,-2195.5,-8.19
crypto,BNB,BNB Coin,2023-03-05,29548.74,30598.1,30623.48,28827.89,2265731.26,21106180914.13,Crypto,BINANCE,Global,USD,2023-03-05 03:00:00,1049.36,3.55
stock,GOOGL,GOOGL Inc,2023-12-25,8726.58,9059.82,9235.01,8698.97,1376071.92,1939066643324.26,AI,NYSE,US,USD,2023-12-25 15:00:00,333.25,3.82
crypto,SOL,SOL Coin,2024-01-16,5682.54,6165.21,6435.66,5471.7,6600180.48,139721208664.85,Crypto,BINANCE,US,USD,2024-01-16 04:00:00,482.67,8.49
crypto,ADA,ADA Coin,2023-03-17,27764.49,27929.14,28266.87,26505.51,8972260.36,327802769079.48,Crypto,COINBASE,US,USD,2023-03-17 03:00:00,164.65,0.59
crypto,BTC,BTC Coin,2023-01-20,31658.74,30639.52,32211.52,30219.69,8971205.49,360665132579.52,Crypto,COINBASE,Global,USD,2023-01-20 18:00:00,-1019.22,-3.22
crypto,BTC,BTC Coin,2024-04-04,38995.98,40103.71,40272.43,37361.32,8985643.33,355399137584.72,Crypto,BINANCE,Global,USD,2024-04-04 12:00:00,1107.73,2.84
crypto,BTC,BTC Coin,2024-04-07,469.76,432.32,485.34,410.81,1608919.71,244539478565.54,Crypto,COINBASE,Global,USD,2024-04-07 11:00:00,-37.44,-7.97
stock,MSFT,MSFT Inc,2023-03-13,34597.84,35649.35,36049.1,34099.94,2373253.63,1650714030206.09,Retail,NYSE,Global,USD,2023-03-13 23:00:00,1051.51,3.04
crypto,ETH,ETH Coin,2023-10-12,37327.11,38444.18,40076.56,36688.09,5683517.72,133532880772.91,Crypto,BINANCE,US,USD,2023-10-12 20:00:00,1117.07,2.99
stock,AMZN,AMZN Inc,2023-11-10,18392.11,17528.43,18616.49,17504.77,3931584.15,290087555806.0,AI,NYSE,Global,USD,2023-11-10 17:00:00,-863.68,-4.7
stock,MSFT,MSFT Inc,2023-02-07,31560.62,33421.51,34261.45,30892.96,4925684.42,2677219199979.57,Technology,NASDAQ,Global,USD,2023-02-07 18:00:00,1860.89,5.9
crypto,ETH,ETH Coin,2023-08-07,36125.38,34541.44,36169.3,33929.15,1771929.68,82120980180.23,Crypto,BINANCE,Global,USD,2023-08-07 21:00:00,-1583.94,-4.38
crypto,SOL,SOL Coin,2023-03-07,47696.89,51654.44,52610.45,45348.91,9283257.31,376481140819.4,Crypto,COINBASE,US,USD,2023-03-07 09:00:00,3957.55,8.3
crypto,SOL,SOL Coin,2023-08-14,48333.07,52814.71,55067.28,46628.0,3851592.19,174132738585.34,Crypto,COINBASE,Global,USD,2023-08-14 03:00:00,4481.64,9.27
crypto,ADA,ADA Coin,2023-08-28,15852.93,14805.03,16294.28,14757.77,6960601.94,341198985249.16,Crypto,COINBASE,US,USD,2023-08-28 16:00:00,-1047.9,-6.61
crypto,ADA,ADA Coin,2024-04-04,4867.85,4979.82,5226.34,4658.56,5183778.19,230174162185.3,Crypto,COINBASE,Global,USD,2024-04-04 20:00:00,111.97,2.3
crypto,ETH,ETH Coin,2024-02-21,37041.02,38500.56,39852.86,35854.77,2936624.85,351562363411.54,Crypto,BINANCE,US,USD,2024-02-21 21:00:00,1459.53,3.94
stock,TSLA,TSLA Inc,2023-02-03,40507.57,43481.41,45466.86,39517.85,5015661.43,2429989854880.76,Finance,NASDAQ,Global,USD,2023-02-03 09:00:00,2973.84,7.34
crypto,BTC,BTC Coin,2023-06-15,32501.7,33814.55,35160.02,32322.95,3380613.57,320326595691.88,Crypto,BINANCE,Global,USD,2023-06-15 19:00:00,1312.85,4.04
stock,AAPL,AAPL Inc,2024-04-24,4708.16,4781.87,4790.46,4582.35,5426903.7,1132993028393.43,Finance,exchange_empty,Global,USD,2024-04-24 16:00:00,73.71,1.57
crypto,BNB,BNB Coin,2024-05-20,29545.75,26771.41,29600.93,26533.95,3602546.22,118183794590.67,Crypto,exchange_empty,US,USD,2024-05-20 07:00:00,-2774.34,-9.39
stock,AAPL,AAPL Inc,2024-07-20,26116.94,27527.22,27824.27,25624.49,854389.3,389910932829.14,Technology,NASDAQ,US,USD,2024-07-20 00:00:00,1410.28,5.4
crypto,ETH,ETH Coin,2023-12-03,26572.42,26788.37,27642.16,26208.5,9758544.94,25414279861.6,Crypto,COINBASE,Global,USD,2023-12-03 09:00:00,215.95,0.81
crypto,SOL,SOL Coin,2024-03-11,16154.59,17108.32,17339.99,15701.43,785485.36,208938637578.97,Crypto,BINANCE,US,USD,2024-03-11 03:00:00,953.72,5.9
crypto,ETH,ETH Coin,2023-08-28,48132.79,51367.13,53154.64,46710.36,1733769.91,15013543649.11,Crypto,BINANCE,US,USD,2023-08-28 17:00:00,3234.33,6.72
crypto,ETH,ETH Coin,2023-06-11,12519.64,12642.9,13094.63,12306.93,2800059.04,66792631855.08,Crypto,BINANCE,US,USD,2023-06-11 21:00:00,123.26,0.98
stock,MSFT,MSFT Inc,2024-01-17,36897.47,37298.57,38439.39,35826.7,2478062.16,2865047189182.95,Automotive,NASDAQ,US,USD,2024-01-17 16:00:00,401.11,1.09
stock,AAPL,AAPL Inc,2023-03-08,37894.73,34214.34,38114.65,32582.32,408247.29,1074358309167.27,Automotive,NASDAQ,US,USD,2023-03-08 15:00:00,-3680.39,-9.71
crypto,BNB,BNB Coin,2023-06-10,35185.86,35004.11,35357.98,34114.34,4735244.24,342906930684.35,Crypto,COINBASE,Global,USD,2023-06-10 20:00:00,-181.74,-0.52
stock,MSFT,MSFT Inc,2023-06-25,21698.24,21257.79,22366.39,20869.94,453994.79,527873591030.95,AI,NYSE,Global,USD,2023-06-25 18:00:00,-440.45,-2.03
stock,MSFT,MSFT Inc,2024-08-17,31296.74,31316.37,32657.48,30762.65,1630181.34,1130091717733.15,Retail,exchange_empty,Global,USD,2024-08-17 13:00:00,19.63,0.06
stock,GOOGL,GOOGL Inc,2024-04-02,32124.54,29082.42,33065.43,28995.51,5755166.3,221000554727.29,Retail,NASDAQ,US,USD,2024-04-02 09:00:00,-3042.12,-9.47
stock,AMZN,AMZN Inc,2023-12-26,32167.98,31899.39,33045.55,31806.03,3861640.28,1170628079357.5,Technology,NYSE,US,USD,2023-12-26 04:00:00,-268.58,-0.83
stock,AMZN,AMZN Inc,2024-01-15,45268.48,42514.26,45425.47,40602.78,183200.03,2883959785833.5,Retail,NASDAQ,Global,USD,2024-01-15 13:00:00,-2754.21,-6.08
crypto,BNB,BNB Coin,2024-06-25,34153.51,31224.43,34698.22,30982.24,233696.09,42304969498.59,Crypto,COINBASE,Global,USD,2024-06-25 10:00:00,-2929.08,-8.58
stock,MSFT,MSFT Inc,2023-04-08,14099.92,13023.15,14591.12,12781.53,8774842.66,2445260762940.92,AI,NYSE,US,USD,2023-04-08 21:00:00,-1076.77,-7.64
crypto,SOL,SOL Coin,2024-02-01,40176.01,38424.62,40532.45,37945.49,8068540.56,295353062302.53,Crypto,COINBASE,Global,USD,2024-02-01 07:00:00,-1751.4,-4.36
crypto,BTC,BTC Coin,2023-05-14,20636.76,20108.53,21437.89,19445.76,9307642.5,396249531090.27,Crypto,COINBASE,Global,USD,2023-05-14 07:00:00,-528.23,-2.56
crypto,ADA,ADA Coin,2024-06-07,21455.41,22531.92,23381.98,20493.27,9025626.51,344073036977.99,Crypto,BINANCE,US,USD,2024-06-07 00:00:00,1076.51,5.02
crypto,ETH,ETH Coin,2024-04-12,41324.61,39837.33,43174.97,38620.7,109365.68,204574687116.9,Crypto,COINBASE,US,USD,2024-04-12 01:00:00,-1487.28,-3.6
stock,GOOGL,GOOGL Inc,2023-03-03,4573.42,4408.15,4790.67,4397.26,5734805.44,2717092109493.6,Automotive,NYSE,US,USD,2023-03-03 17:00:00,-165.27,-3.61
crypto,BNB,BNB Coin,2023-11-20,22427.79,21500.23,22796.35,21148.18,7523992.92,254575698807.07,Crypto,COINBASE,US,USD,2023-11-20 12:00:00,-927.57,-4.14
stock,MSFT,MSFT Inc,2023-05-07,39483.01,36254.93,40459.07,34546.52,5495739.29,2376821340740.29,Finance,NASDAQ,US,USD,2023-05-07 21:00:00,-3228.08,-8.18
stock,MSFT,MSFT Inc,2023-04-26,44386.33,43062.86,44646.14,41217.6,7615344.81,1330176199106.4,Automotive,NASDAQ,US,USD,2023-04-26 20:00:00,-1323.47,-2.98
stock,GOOGL,GOOGL Inc,2024-07-14,5065.12,4643.81,5242.65,4428.52,8218778.73,1858472009315.62,Finance,NASDAQ,US,USD,2024-07-14 15:00:00,-421.31,-8.32
stock,GOOGL,GOOGL Inc,2024-08-09,4076.63,3738.13,4277.73,3621.18,3707050.83,2121664259197.92,Retail,NASDAQ,US,USD,2024-08-09 07:00:00,-338.49,-8.3
crypto,ETH,ETH Coin,2024-07-03,47362.96,51966.65,53924.17,45885.85,835923.67,326055829066.71,Crypto,exchange_empty,Global,USD,2024-07-03 16:00:00,4603.69,9.72
stock,AAPL,AAPL Inc,2023-07-15,27924.63,27501.41,29190.11,26279.25,4926758.42,2333669278623.04,AI,exchange_empty,Global,USD,2023-07-15 17:00:00,-423.21,-1.52
crypto,BNB,BNB Coin,2023-03-28,23438.35,21358.44,23577.59,20416.03,6492453.81,9484689683.13,Crypto,BINANCE,US,USD,2023-03-28 20:00:00,-2079.9,-8.87
crypto,BNB,BNB Coin,2024-06-01,29172.6,31869.16,32466.5,28130.72,8686122.68,299687727309.84,Crypto,COINBASE,Global,USD,2024-06-01 14:00:00,2696.56,9.24
crypto,BTC,BTC Coin,2024-02-04,48161.49,43462.42,50497.04,41383.09,8911539.99,93320356215.18,Crypto,BINANCE,US,USD,2024-02-04 20:00:00,-4699.07,-9.76
crypto,BNB,BNB Coin,2024-04-27,49648.31,45416.25,51023.21,45346.55,5231455.34,213441938089.09,Crypto,COINBASE,US,USD,2024-04-27 17:00:00,-4232.06,-8.52
stock,TSLA,TSLA Inc,2024-05-30,34790.48,34474.17,35882.13,33757.65,9011678.95,1891901928024.44,Automotive,NYSE,US,USD,2024-05-30 01:00:00,-316.31,-0.91
crypto,SOL,SOL Coin,2023-05-31,14055.35,15321.49,16003.5,13672.8,6201705.85,22951320234.88,Crypto,COINBASE,Global,USD,2023-05-31 09:00:00,1266.14,9.01
crypto,ETH,ETH Coin,2023-08-10,9414.18,9345.83,9580.5,9151.27,778268.64,114565567277.55,Crypto,COINBASE,Global,USD,2023-08-10 04:00:00,-68.35,-0.73
crypto,ETH,ETH Coin,2024-07-09,49310.68,51264.97,52639.12,47608.29,8138136.4,389885949028.14,Crypto,BINANCE,Global,USD,2024-07-09 05:00:00,1954.3,3.96
stock,AMZN,AMZN Inc,2023-07-26,8139.22,8808.15,9170.4,8118.79,7257469.36,2057346205936.1,AI,NYSE,Global,USD,2023-07-26 00:00:00,668.93,8.22
stock,AAPL,AAPL Inc,2023-03-23,20917.97,22728.33,23712.54,19919.37,264643.38,1844111435848.01,AI,NASDAQ,Global,USD,2023-03-23 03:00:00,1810.36,8.65
crypto,SOL,SOL Coin,2024-06-08,40529.56,44479.38,44813.9,39707.08,3809527.68,153703029916.83,Crypto,BINANCE,Global,USD,2024-06-08 12:00:00,3949.82,9.75
stock,TSLA,TSLA Inc,2023-09-25,42107.52,44956.76,46010.31,40875.5,2734797.31,2910044049465.66,Technology,NASDAQ,Global,USD,2023-09-25 23:00:00,2849.24,6.77
crypto,BTC,BTC Coin,2023-12-14,43237.47,45943.28,48239.8,43230.2,5554761.62,27268321177.12,Crypto,BINANCE,US,USD,2023-12-14 17:00:00,2705.81,6.26
crypto,ADA,ADA Coin,2023-08-29,47238.84,50542.23,51167.3,45941.06,1292464.99,308750028996.3,Crypto,COINBASE,Global,USD,2023-08-29 16:00:00,3303.39,6.99
stock,TSLA,TSLA Inc,2024-07-22,30312.67,28667.56,31330.72,28120.19,3582269.02,2862612571503.58,Retail,NASDAQ,US,USD,2024-07-22 20:00:00,-1645.11,-5.43
stock,TSLA,TSLA Inc,2023-09-22,33581.94,33718.34,35020.4,32776.25,8521962.82,349537200676.89,Finance,NYSE,US,USD,2023-09-22 04:00:00,136.39,0.41
stock,AAPL,AAPL Inc,2023-10-09,28051.29,30164.41,30772.95,26836.69,288797.98,1660201447935.71,Technology,NASDAQ,US,USD,2023-10-09 05:00:00,2113.12,7.53
stock,AAPL,AAPL Inc,2023-01-14,31019.27,32285.36,32629.14,29679.82,146432.11,2267860394464.12,AI,NASDAQ,US,USD,2023-01-14 06:00:00,1266.08,4.08
crypto,BTC,BTC Coin,2023-10-16,29499.99,28864.23,30145.26,28725.91,3483206.41,143482085728.61,Crypto,COINBASE,Global,USD,2023-10-16 06:00:00,-635.76,-2.16
stock,MSFT,MSFT Inc,2024-01-05,39184.81,38374.02,40403.63,38109.94,9495256.72,1546828572587.83,Technology,NYSE,Global,USD,2024-01-05 13:00:00,-810.79,-2.07
crypto,ADA,ADA Coin,2024-02-22,46330.12,46257.06,46928.34,45006.13,9800345.72,63094024966.97,Crypto,COINBASE,US,USD,2024-02-22 18:00:00,-73.05,-0.16
crypto,ETH,ETH Coin,2023-11-12,16444.29,16883.03,17085.75,15684.45,1289668.34,199584147127.18,Crypto,COINBASE,Global,USD,2023-11-12 15:00:00,438.74,2.67
crypto,BNB,BNB Coin,2023-01-30,7603.62,7054.37,7847.26,6765.81,3457327.17,55578106388.32,Crypto,BINANCE,Global,USD,2023-01-30 12:00:00,-549.24,-7.22
stock,MSFT,MSFT Inc,2024-03-04,23703.34,24497.68,24708.75,22746.07,409645.29,2691397345618.98,Technology,NYSE,US,USD,2024-03-04 15:00:00,794.34,3.35
stock,AAPL,AAPL Inc,2023-08-20,13936.73,13036.45,13998.54,12463.26,4608326.9,515115838585.77,Retail,NYSE,Global,USD,2023-08-20 10:00:00,-900.28,-6.46
crypto,BTC,BTC Coin,2024-04-30,18219.85,18232.3,18861.68,17344.67,7994304.58,86501818770.29,Crypto,BINANCE,US,USD,2024-04-30 21:00:00,12.45,0.07
crypto,BTC,BTC Coin,2023-11-02,4097.13,4403.25,4606.0,3904.79,2769499.6,253020653848.91,Crypto,BINANCE,US,USD,2023-11-02 09:00:00,306.12,7.47
stock,TSLA,TSLA Inc,2023-03-11,37415.5,35054.74,37807.15,33951.34,4845745.33,2420541826581.25,AI,NASDAQ,US,USD,2023-03-11 08:00:00,-2360.76,-6.31
crypto,BNB,BNB Coin,2024-03-23,18451.99,18313.73,19141.61,17431.63,2525117.01,249210634754.47,Crypto,COINBASE,Global,USD,2024-03-23 16:00:00,-138.26,-0.75
crypto,BNB,BNB Coin,2023-02-24,44761.39,44865.93,46059.62,42763.18,4474676.26,286773086424.4,Crypto,COINBASE,Global,USD,2023-02-24 04:00:00,104.54,0.23
crypto,ETH,ETH Coin,2024-07-03,12131.1,11571.23,12359.94,11004.28,3221469.58,215383820249.73,Crypto,COINBASE,Global,USD,2024-07-03 04:00:00,-559.87,-4.62
stock,TSLA,TSLA Inc,2023-08-29,16381.59,15135.81,17111.01,14828.25,6791344.09,642229540919.67,Finance,NASDAQ,US,USD,2023-08-29 08:00:00,-1245.78,-7.6
crypto,BNB,BNB Coin,2024-03-30,24927.13,22867.75,25596.55,22395.35,7454649.3,316722639249.9,Crypto,COINBASE,Global,USD,2024-03-30 20:00:00,-2059.38,-8.26
crypto,BTC,BTC Coin,2023-04-14,6387.74,6111.5,6503.7,6003.3,5708212.27,175505520760.72,Crypto,COINBASE,Global,USD,2023-04-14 08:00:00,-276.24,-4.32
stock,MSFT,MSFT Inc,2023-07-11,49325.9,50369.38,50966.83,47110.63,1529438.53,1074729210434.56,Finance,NASDAQ,Global,USD,2023-07-11 04:00:00,1043.49,2.12
crypto,ETH,ETH Coin,2023-12-04,8042.46,7538.31,8157.11,7226.74,8967757.48,102153302711.88,Crypto,BINANCE,Global,USD,2023-12-04 00:00:00,-504.15,-6.27
stock,AMZN,AMZN Inc,2023-09-07,26230.32,25760.26,27518.73,24616.55,3979158.13,249898899528.31,Retail,NASDAQ,Global,USD,2023-09-07 03:00:00,-470.06,-1.79
crypto,BNB,BNB Coin,2023-05-12,43276.7,46021.07,46614.52,41482.64,6686763.56,387940821143.77,Crypto,COINBASE,US,USD,2023-05-12 16:00:00,2744.37,6.34
crypto,ETH,ETH Coin,2023-11-27,27842.58,28241.35,28636.7,27521.68,1871250.44,372103515705.4,Crypto,BINANCE,US,USD,2023-11-27 00:00:00,398.78,1.43
crypto,ADA,ADA Coin,2023-03-31,21277.57,21309.95,21568.24,20335.86,6106589.8,132853298379.68,Crypto,COINBASE,Global,USD,2023-03-31 17:00:00,32.39,0.15
crypto,ADA,ADA Coin,2023-01-16,29066.1,27056.83,29765.34,26424.5,519183.54,119009068529.9,Crypto,BINANCE,US,USD,2023-01-16 11:00:00,-2009.27,-6.91
stock,MSFT,MSFT Inc,2023-03-01,6729.39,6141.75,7062.48,5933.65,8098934.58,1016446791799.82,Automotive,NASDAQ,Global,USD,2023-03-01 19:00:00,-587.64,-8.73
stock,MSFT,MSFT Inc,2023-08-26,34078.32,35851.95,36919.69,33177.93,4118997.3,771375557743.65,Retail,NASDAQ,US,USD,2023-08-26 04:00:00,1773.63,5.2
stock,MSFT,MSFT Inc,2023-03-03,46477.16,49550.41,51941.29,44442.15,7308943.88,1053116116963.56,Technology,NYSE,US,USD,2023-03-03 17:00:00,3073.25,6.61
stock,AMZN,AMZN Inc,2024-07-30,9069.84,8283.48,9405.93,8107.24,8418445.94,2815637965894.9,AI,NYSE,Global,USD,2024-07-30 20:00:00,-786.36,-8.67
stock,AAPL,AAPL Inc,2023-11-19,39765.41,37392.43,40090.81,35829.92,8145932.63,427919406112.61,Finance,NASDAQ,US,USD,2023-11-19 16:00:00,-2372.98,-5.97
stock,GOOGL,GOOGL Inc,2023-07-22,26158.04,25419.5,27305.33,24647.31,8166177.8,1998939689881.64,Finance,NYSE,Global,USD,2023-07-22 17:00:00,-738.54,-2.82
crypto,SOL,SOL Coin,2023-08-24,18853.45,18712.73,19137.55,18476.58,5027701.18,178458288885.24,Crypto,BINANCE,Global,USD,2023-08-24 02:00:00,-140.72,-0.75
stock,AMZN,AMZN Inc,2023-12-11,44979.73,43935.22,46202.18,43729.77,6242755.72,704315958488.98,Automotive,NYSE,US,USD,2023-12-11 09:00:00,-1044.51,-2.32
crypto,BTC,BTC Coin,2024-01-10,46992.21,48192.46,48999.46,44969.83,7940457.87,51174726079.8,Crypto,COINBASE,Global,USD,2024-01-10 17:00:00,1200.26,2.55
crypto,ADA,ADA Coin,2023-06-12,26677.72,28779.35,29914.12,25546.15,3117908.96,249928738591.76,Crypto,COINBASE,US,USD,2023-06-12 07:00:00,2101.63,7.88
stock,TSLA,TSLA Inc,2024-01-31,37199.88,33729.37,38259.87,33328.76,8767779.6,752982528045.25,AI,NYSE,US,USD,2024-01-31 14:00:00,-3470.51,-9.33
crypto,ETH,ETH Coin,2023-07-19,41064.65,37866.8,42802.62,36214.84,3973475.62,140122290742.78,Crypto,COINBASE,US,USD,2023-07-19 09:00:00,-3197.85,-7.79
stock,AMZN,AMZN Inc,2024-06-22,7504.37,7098.01,7775.37,6998.65,6411835.18,2393913143680.87,Finance,exchange_empty,US,USD,2024-06-22 20:00:00,-406.36,-5.41
crypto,ETH,ETH Coin,2023-03-06,27140.79,25793.52,27609.92,24738.05,9084597.16,279109635564.5,Crypto,COINBASE,US,USD,2023-03-06 00:00:00,-1347.27,-4.96
stock,AAPL,AAPL Inc,2024-05-28,20048.56,19896.22,20998.15,19053.96,5862712.09,1754341466350.7,Finance,NYSE,US,USD,2024-05-28 21:00:00,-152.35,-0.76
crypto,BTC,BTC Coin,2023-01-28,30576.6,27629.69,31909.93,27535.91,5651766.7,204826028159.36,Crypto,BINANCE,US,USD,2023-01-28 08:00:00,-2946.91,-9.64
stock,AMZN,AMZN Inc,2023-02-23,46125.74,48037.55,48403.93,45148.54,6067543.75,2092985963391.91,Technology,NYSE,US,USD,2023-02-23 17:00:00,1911.81,4.14
crypto,ADA,ADA Coin,2024-03-22,36824.85,40023.95,41876.19,35813.71,1133267.22,172531615164.44,Crypto,BINANCE,Global,USD,2024-03-22 03:00:00,3199.1,8.69
crypto,BTC,BTC Coin,2024-06-23,41946.52,38797.7,43877.82,38545.31,5188861.73,394012273590.12,Crypto,BINANCE,US,USD,2024-06-23 10:00:00,-3148.82,-7.51
stock,MSFT,MSFT Inc,2023-03-17,19956.15,18179.1,20290.61,17999.9,47315.6,1777913552877.34,Automotive,NASDAQ,Global,USD,2023-03-17 05:00:00,-1777.05,-8.9
crypto,BTC,BTC Coin,2023-05-05,19914.45,20063.4,20986.17,19263.59,3470185.07,136732172818.0,Crypto,COINBASE,US,USD,2023-05-05 13:00:00,148.94,0.75
crypto,BNB,BNB Coin,2023-04-30,22616.37,21370.69,23128.0,20452.66,1764693.48,296312993003.35,Crypto,COINBASE,US,USD,2023-04-30 03:00:00,-1245.69,-5.51
crypto,ADA,ADA Coin,2023-08-24,20952.08,22690.46,23101.6,20512.71,6323010.61,201855270232.09,Crypto,COINBASE,Global,USD,2023-08-24 20:00:00,1738.38,8.3
stock,TSLA,TSLA Inc,2023-03-14,33180.23,31043.66,34774.66,29722.23,4146826.61,49152425199.12,Technology,exchange_empty,US,USD,2023-03-14 11:00:00,-2136.57,-6.44
crypto,BTC,BTC Coin,2023-01-12,49843.74,49865.63,51350.09,47518.72,7499854.74,38713118891.06,Crypto,COINBASE,Global,USD,2023-01-12 10:00:00,21.88,0.04
stock,MSFT,MSFT Inc,2023-07-09,44903.73,42255.67,45331.86,40220.11,4721197.38,637617723355.8,Technology,NYSE,US,USD,2023-07-09 06:00:00,-2648.07,-5.9
stock,AMZN,AMZN Inc,2023-01-24,3294.77,3476.34,3555.12,3216.42,4408186.71,1698874988455.22,Retail,NASDAQ,Global,USD,2023-01-24 09:00:00,181.56,5.51
stock,GOOGL,GOOGL Inc,2023-01-03,27986.42,26056.7,28241.0,25876.63,9461208.51,1208281552017.22,Retail,NASDAQ,US,USD,2023-01-03 19:00:00,-1929.72,-6.9
stock,AAPL,AAPL Inc,2023-02-18,13544.53,13934.61,14219.38,12884.49,1562369.82,1126194855676.46,Technology,NASDAQ,US,USD,2023-02-18 23:00:00,390.08,2.88
